"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","[Back] Hammer Strength Row",,"",0,"warmup",145,15,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","[Back] Hammer Strength Row",,"",1,"normal",165,12,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","[Back] Hammer Strength Row",,"",2,"normal",175,12,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","[Back] Back Extension (Machine)",,"",0,"warmup",120,12,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","[Back] Back Extension (Machine)",,"",1,"normal",130,12,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","[Back] Back Extension (Machine)",,"",2,"normal",140,12,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","[Back] Bent Over Row (Barbell)",,"",0,"normal",75,12,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","[Chest] Decline Chest Press",,"",0,"warmup",90,15,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","[Chest] Decline Chest Press",,"",1,"normal",100,12,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","[Chest] Decline Chest Press",,"",2,"normal",110,10,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","[Triceps] Seated Triceps Press",,"",0,"warmup",100,12,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","[Triceps] Seated Triceps Press",,"",1,"normal",100,12,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","[Triceps] Seated Triceps Press",,"",2,"normal",100,12,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","Crunch (Machine)",,"",0,"warmup",60,20,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","Crunch (Machine)",,"",1,"normal",50,18,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","Torso Rotation",,"",0,"warmup",110,15,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","Torso Rotation",,"",1,"normal",110,15,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","Torso Rotation",,"",2,"normal",110,15,,,
"Upper","May 8, 2026, 9:22 AM","May 8, 2026, 10:04 AM","","Torso Rotation",,"",3,"normal",110,15,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Seated Leg Curl (Machine)",,"",0,"warmup",90,12,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Seated Leg Curl (Machine)",,"",1,"normal",110,12,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Seated Leg Curl (Machine)",,"",2,"normal",110,12,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Leg Extension (Machine)",,"",0,"warmup",90,12,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Leg Extension (Machine)",,"",1,"normal",100,12,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Leg Extension (Machine)",,"",2,"normal",100,12,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Glute Bridge (Machine)",,"",0,"warmup",225,17,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Glute Bridge (Machine)",,"",1,"normal",225,17,,,
"Lower","May 7, 2026, 8:20 AM","May 7, 2026, 9:20 AM","","Glute Bridge (Machine)",,"",2,"normal",225,12,,,
